debate_id,problem_id,transcript_file,duration,experiment_mode,timestamp,success,error
quality_synthetic_18_Why_did_Patricia_bui_baseline_judge_1765651744,synthetic_18_Why_did_Patricia_bui,quality_synthetic_18_Why_did_Patricia_bui_baseline_judge_1765651744.json,160.98354601860046,baseline_judge,2025-12-13T18:51:45.620027,True,
quality_synthetic_78_Which_region_did_Lun_baseline_judge_1765651905,synthetic_78_Which_region_did_Lun,quality_synthetic_78_Which_region_did_Lun_baseline_judge_1765651905.json,162.76261115074158,baseline_judge,2025-12-13T18:54:28.382933,True,
quality_synthetic_94_Where_did_Max_encoun_baseline_judge_1765652068,synthetic_94_Where_did_Max_encoun,quality_synthetic_94_Where_did_Max_encoun_baseline_judge_1765652068.json,156.71719932556152,baseline_judge,2025-12-13T18:57:05.100400,True,
quality_synthetic_52_What_characteristics_baseline_judge_1765652225,synthetic_52_What_characteristics,quality_synthetic_52_What_characteristics_baseline_judge_1765652225.json,198.26094007492065,baseline_judge,2025-12-13T19:00:23.361614,True,
quality_synthetic_88_What_advanced_techno_baseline_judge_1765652423,synthetic_88_What_advanced_techno,quality_synthetic_88_What_advanced_techno_baseline_judge_1765652423.json,156.75108408927917,baseline_judge,2025-12-13T19:03:00.112976,True,
quality_synthetic_125_What_caused_the_pest_baseline_judge_1765652580,synthetic_125_What_caused_the_pest,quality_synthetic_125_What_caused_the_pest_baseline_judge_1765652580.json,188.06864953041077,baseline_judge,2025-12-13T19:06:08.181911,True,
quality_synthetic_147_In_which_location_is_baseline_judge_1765652768,synthetic_147_In_which_location_is,quality_synthetic_147_In_which_location_is_baseline_judge_1765652768.json,166.98230457305908,baseline_judge,2025-12-13T19:08:55.164496,True,
quality_synthetic_144_What_is_the_specific_baseline_judge_1765652935,synthetic_144_What_is_the_specific,quality_synthetic_144_What_is_the_specific_baseline_judge_1765652935.json,151.80894207954407,baseline_judge,2025-12-13T19:11:26.973707,True,
quality_synthetic_134_What_did_Anna_attemp_baseline_judge_1765653086,synthetic_134_What_did_Anna_attemp,quality_synthetic_134_What_did_Anna_attemp_baseline_judge_1765653086.json,173.22523713111877,baseline_judge,2025-12-13T19:14:20.199217,True,
quality_synthetic_126_Which_region_is_NOT__baseline_judge_1765653260,synthetic_126_Which_region_is_NOT_,quality_synthetic_126_Which_region_is_NOT__baseline_judge_1765653260.json,160.1996886730194,baseline_judge,2025-12-13T19:17:00.399190,True,
quality_synthetic_38_Which_of_these_was_n_baseline_judge_1765653420,synthetic_38_Which_of_these_was_n,quality_synthetic_38_Which_of_these_was_n_baseline_judge_1765653420.json,177.4928514957428,baseline_judge,2025-12-13T19:19:57.892323,True,
quality_synthetic_11_What_does_the_film_r_baseline_judge_1765653597,synthetic_11_What_does_the_film_r,quality_synthetic_11_What_does_the_film_r_baseline_judge_1765653597.json,153.70153093338013,baseline_judge,2025-12-13T19:22:31.594121,True,
quality_synthetic_42_What_is_the_relation_baseline_judge_1765653751,synthetic_42_What_is_the_relation,quality_synthetic_42_What_is_the_relation_baseline_judge_1765653751.json,168.46111798286438,baseline_judge,2025-12-13T19:25:20.055520,True,
quality_synthetic_145_What_galaxy_is_Leah__baseline_judge_1765653920,synthetic_145_What_galaxy_is_Leah_,quality_synthetic_145_What_galaxy_is_Leah__baseline_judge_1765653920.json,160.3231658935547,baseline_judge,2025-12-13T19:28:00.378972,True,
quality_synthetic_2_What_was_Dr._Edwards_baseline_judge_1765654080,synthetic_2_What_was_Dr._Edwards,quality_synthetic_2_What_was_Dr._Edwards_baseline_judge_1765654080.json,206.6044909954071,baseline_judge,2025-12-13T19:31:26.983747,True,
quality_synthetic_161_What_year_was_Jonath_baseline_judge_1765654286,synthetic_161_What_year_was_Jonath,quality_synthetic_161_What_year_was_Jonath_baseline_judge_1765654286.json,222.85495018959045,baseline_judge,2025-12-13T19:35:09.838983,True,
quality_synthetic_49_What_didn't_surprise_baseline_judge_1765654509,synthetic_49_What_didn't_surprise,quality_synthetic_49_What_didn't_surprise_baseline_judge_1765654509.json,206.76023626327515,baseline_judge,2025-12-13T19:38:36.599505,True,
quality_synthetic_156_What_was_the_name_of_baseline_judge_1765654716,synthetic_156_What_was_the_name_of,quality_synthetic_156_What_was_the_name_of_baseline_judge_1765654716.json,227.55592918395996,baseline_judge,2025-12-13T19:42:24.155724,True,
quality_synthetic_123_What_strategy_was_pr_baseline_judge_1765654944,synthetic_123_What_strategy_was_pr,quality_synthetic_123_What_strategy_was_pr_baseline_judge_1765654944.json,207.4024531841278,baseline_judge,2025-12-13T19:45:51.558469,True,
quality_synthetic_43_What_is_NOT_true_of__baseline_judge_1765655151,synthetic_43_What_is_NOT_true_of_,quality_synthetic_43_What_is_NOT_true_of__baseline_judge_1765655151.json,204.43146204948425,baseline_judge,2025-12-13T19:49:15.990211,True,
quality_synthetic_146_How_many_students_jo_baseline_judge_1765655355,synthetic_146_How_many_students_jo,quality_synthetic_146_How_many_students_jo_baseline_judge_1765655355.json,217.20015144348145,baseline_judge,2025-12-13T19:52:53.190651,True,
quality_synthetic_36_How_did_living_in_a__baseline_judge_1765655573,synthetic_36_How_did_living_in_a_,quality_synthetic_36_How_did_living_in_a__baseline_judge_1765655573.json,201.03922367095947,baseline_judge,2025-12-13T19:56:14.230167,True,
quality_synthetic_136_What_company_saw_its_baseline_judge_1765655774,synthetic_136_What_company_saw_its,quality_synthetic_136_What_company_saw_its_baseline_judge_1765655774.json,195.04768085479736,baseline_judge,2025-12-13T19:59:29.278130,True,
quality_synthetic_0_What_do_Jessica_and__baseline_judge_1765655969,synthetic_0_What_do_Jessica_and_,quality_synthetic_0_What_do_Jessica_and__baseline_judge_1765655969.json,145.60865139961243,baseline_judge,2025-12-13T20:01:54.887059,True,
quality_synthetic_17_According_to_the_art_baseline_judge_1765656114,synthetic_17_According_to_the_art,quality_synthetic_17_According_to_the_art_baseline_judge_1765656114.json,151.04969811439514,baseline_judge,2025-12-13T20:04:25.937038,True,
quality_synthetic_63_How_did_the_Global_H_baseline_judge_1765656265,synthetic_63_How_did_the_Global_H,quality_synthetic_63_How_did_the_Global_H_baseline_judge_1765656265.json,170.10842943191528,baseline_judge,2025-12-13T20:07:16.045746,True,
quality_synthetic_76_Why_did_Nicole_wish__baseline_judge_1765656436,synthetic_76_Why_did_Nicole_wish_,quality_synthetic_76_Why_did_Nicole_wish__baseline_judge_1765656436.json,183.45374083518982,baseline_judge,2025-12-13T20:10:19.499762,True,
quality_synthetic_160_Who_is_the_xenominer_baseline_judge_1765656619,synthetic_160_Who_is_the_xenominer,quality_synthetic_160_Who_is_the_xenominer_baseline_judge_1765656619.json,188.48519372940063,baseline_judge,2025-12-13T20:13:27.985244,True,
quality_synthetic_19_What_were_Mark_and_A_baseline_judge_1765656807,synthetic_19_What_were_Mark_and_A,quality_synthetic_19_What_were_Mark_and_A_baseline_judge_1765656807.json,205.61283206939697,baseline_judge,2025-12-13T20:16:53.598357,True,
quality_synthetic_30_Why_did_Ivy_want_to__baseline_judge_1765657013,synthetic_30_Why_did_Ivy_want_to_,quality_synthetic_30_Why_did_Ivy_want_to__baseline_judge_1765657013.json,161.65681529045105,baseline_judge,2025-12-13T20:19:35.255463,True,
quality_synthetic_148_How_long_had_it_been_baseline_judge_1765657175,synthetic_148_How_long_had_it_been,quality_synthetic_148_How_long_had_it_been_baseline_judge_1765657175.json,213.03659796714783,baseline_judge,2025-12-13T20:23:08.292340,True,
quality_synthetic_69_According_to_the_aut_baseline_judge_1765657388,synthetic_69_According_to_the_aut,quality_synthetic_69_According_to_the_aut_baseline_judge_1765657388.json,161.40499019622803,baseline_judge,2025-12-13T20:25:49.697616,True,
quality_synthetic_89_In_which_small_town__baseline_judge_1765657549,synthetic_89_In_which_small_town_,quality_synthetic_89_In_which_small_town__baseline_judge_1765657549.json,173.48176908493042,baseline_judge,2025-12-13T20:28:43.179671,True,
quality_synthetic_99_Where_was_the_five_m_baseline_judge_1765657723,synthetic_99_Where_was_the_five_m,quality_synthetic_99_Where_was_the_five_m_baseline_judge_1765657723.json,209.78240585327148,baseline_judge,2025-12-13T20:32:12.962361,True,
quality_synthetic_133_What_district_was_ca_baseline_judge_1765657932,synthetic_133_What_district_was_ca,quality_synthetic_133_What_district_was_ca_baseline_judge_1765657932.json,152.42236471176147,baseline_judge,2025-12-13T20:34:45.385003,True,
quality_synthetic_74_What_aspect_of_the_j_baseline_judge_1765658085,synthetic_74_What_aspect_of_the_j,quality_synthetic_74_What_aspect_of_the_j_baseline_judge_1765658085.json,201.94244146347046,baseline_judge,2025-12-13T20:38:07.327730,True,
quality_synthetic_3_What_was_Munoz_most__baseline_judge_1765658287,synthetic_3_What_was_Munoz_most_,quality_synthetic_3_What_was_Munoz_most__baseline_judge_1765658287.json,184.78882694244385,baseline_judge,2025-12-13T20:41:12.116811,True,
quality_synthetic_104_What_is_Bianca_Rice'_baseline_judge_1765658472,synthetic_104_What_is_Bianca_Rice',quality_synthetic_104_What_is_Bianca_Rice'_baseline_judge_1765658472.json,144.99697017669678,baseline_judge,2025-12-13T20:43:37.114065,True,
quality_synthetic_60_What_would_you_say_i_baseline_judge_1765658617,synthetic_60_What_would_you_say_i,quality_synthetic_60_What_would_you_say_i_baseline_judge_1765658617.json,156.88338017463684,baseline_judge,2025-12-13T20:46:13.997731,True,
quality_synthetic_32_Why_did_Jonathan_Gib_baseline_judge_1765658773,synthetic_32_Why_did_Jonathan_Gib,quality_synthetic_32_Why_did_Jonathan_Gib_baseline_judge_1765658773.json,138.90697169303894,baseline_judge,2025-12-13T20:48:32.904984,True,
quality_synthetic_53_What_would_Jonathan__baseline_judge_1765658912,synthetic_53_What_would_Jonathan_,quality_synthetic_53_What_would_Jonathan__baseline_judge_1765658912.json,165.32313537597656,baseline_judge,2025-12-13T20:51:18.228393,True,
quality_synthetic_14_How_fast_is_rapid_ph_baseline_judge_1765659078,synthetic_14_How_fast_is_rapid_ph,quality_synthetic_14_How_fast_is_rapid_ph_baseline_judge_1765659078.json,217.8594183921814,baseline_judge,2025-12-13T20:54:56.088094,True,
quality_synthetic_130_What_was_Julia's_fav_baseline_judge_1765659296,synthetic_130_What_was_Julia's_fav,quality_synthetic_130_What_was_Julia's_fav_baseline_judge_1765659296.json,199.43474626541138,baseline_judge,2025-12-13T20:58:15.523124,True,
quality_synthetic_83_How_many_humanoid_fi_baseline_judge_1765659495,synthetic_83_How_many_humanoid_fi,quality_synthetic_83_How_many_humanoid_fi_baseline_judge_1765659495.json,153.75824403762817,baseline_judge,2025-12-13T21:00:49.281666,True,
quality_synthetic_92_Who_did_Commander_Jo_baseline_judge_1765659649,synthetic_92_Who_did_Commander_Jo,quality_synthetic_92_Who_did_Commander_Jo_baseline_judge_1765659649.json,173.38060808181763,baseline_judge,2025-12-13T21:03:42.662559,True,
quality_synthetic_64_Why_did_the_royal_de_baseline_judge_1765659822,synthetic_64_Why_did_the_royal_de,quality_synthetic_64_Why_did_the_royal_de_baseline_judge_1765659822.json,156.9314272403717,baseline_judge,2025-12-13T21:06:19.594278,True,
quality_synthetic_100_Who_was_mistaken_for_baseline_judge_1765659979,synthetic_100_Who_was_mistaken_for,quality_synthetic_100_Who_was_mistaken_for_baseline_judge_1765659979.json,204.9750645160675,baseline_judge,2025-12-13T21:09:44.569620,True,
quality_synthetic_67_Schultz_suggests_all_baseline_judge_1765660184,synthetic_67_Schultz_suggests_all,quality_synthetic_67_Schultz_suggests_all_baseline_judge_1765660184.json,142.58916115760803,baseline_judge,2025-12-13T21:12:07.159064,True,
quality_synthetic_54_What_is_Dr._Young's__baseline_judge_1765660327,synthetic_54_What_is_Dr._Young's_,quality_synthetic_54_What_is_Dr._Young's__baseline_judge_1765660327.json,146.72471022605896,baseline_judge,2025-12-13T21:14:33.884032,True,
quality_synthetic_66_What_will_happen_if__baseline_judge_1765660473,synthetic_66_What_will_happen_if_,quality_synthetic_66_What_will_happen_if__baseline_judge_1765660473.json,164.23932671546936,baseline_judge,2025-12-13T21:17:18.123630,True,
quality_synthetic_95_What_was_the_locatio_baseline_judge_1765660638,synthetic_95_What_was_the_locatio,quality_synthetic_95_What_was_the_locatio_baseline_judge_1765660638.json,162.5307478904724,baseline_judge,2025-12-13T21:20:00.654656,True,
quality_synthetic_112_What_year_was_the_fi_baseline_judge_1765660800,synthetic_112_What_year_was_the_fi,quality_synthetic_112_What_year_was_the_fi_baseline_judge_1765660800.json,170.64484071731567,baseline_judge,2025-12-13T21:22:51.299789,True,
quality_synthetic_117_Which_event_contradi_baseline_judge_1765660971,synthetic_117_Which_event_contradi,quality_synthetic_117_Which_event_contradi_baseline_judge_1765660971.json,153.31971883773804,baseline_judge,2025-12-13T21:25:24.619782,True,
quality_synthetic_65_Why_did_Dr._Flores_b_baseline_judge_1765661124,synthetic_65_Why_did_Dr._Flores_b,quality_synthetic_65_Why_did_Dr._Flores_b_baseline_judge_1765661124.json,149.3820652961731,baseline_judge,2025-12-13T21:27:54.002134,True,
quality_synthetic_16_Why_was_Patricia_lyi_baseline_judge_1765661274,synthetic_16_Why_was_Patricia_lyi,quality_synthetic_16_Why_was_Patricia_lyi_baseline_judge_1765661274.json,192.69117164611816,baseline_judge,2025-12-13T21:31:06.693581,True,
quality_synthetic_122_What_phrase_did_Soph_baseline_judge_1765661466,synthetic_122_What_phrase_did_Soph,quality_synthetic_122_What_phrase_did_Soph_baseline_judge_1765661466.json,208.68735599517822,baseline_judge,2025-12-13T21:34:35.381227,True,
quality_synthetic_141_Where_was_Pedro_Flor_baseline_judge_1765661675,synthetic_141_Where_was_Pedro_Flor,quality_synthetic_141_Where_was_Pedro_Flor_baseline_judge_1765661675.json,174.7188217639923,baseline_judge,2025-12-13T21:37:30.100321,True,
quality_synthetic_61_How_did_Naomi_Wyatt__baseline_judge_1765661850,synthetic_61_How_did_Naomi_Wyatt_,quality_synthetic_61_How_did_Naomi_Wyatt__baseline_judge_1765661850.json,221.06048583984375,baseline_judge,2025-12-13T21:41:11.161081,True,
quality_synthetic_142_Who_attempted_to_cor_baseline_judge_1765662071,synthetic_142_Who_attempted_to_cor,quality_synthetic_142_Who_attempted_to_cor_baseline_judge_1765662071.json,158.26517534255981,baseline_judge,2025-12-13T21:43:49.426534,True,
quality_synthetic_25_How_does_Dr._Christo_baseline_judge_1765662229,synthetic_25_How_does_Dr._Christo,quality_synthetic_25_How_does_Dr._Christo_baseline_judge_1765662229.json,189.6714572906494,baseline_judge,2025-12-13T21:46:59.098264,True,
quality_synthetic_110_What_is_the_name_of__baseline_judge_1765662419,synthetic_110_What_is_the_name_of_,quality_synthetic_110_What_is_the_name_of__baseline_judge_1765662419.json,205.18830370903015,baseline_judge,2025-12-13T21:50:24.286863,True,
quality_synthetic_72_Why_did_Mark_give_hi_baseline_judge_1765662624,synthetic_72_Why_did_Mark_give_hi,quality_synthetic_72_Why_did_Mark_give_hi_baseline_judge_1765662624.json,166.0294840335846,baseline_judge,2025-12-13T21:53:10.316634,True,
quality_synthetic_13_How_did_Anil_feel_ab_baseline_judge_1765662790,synthetic_13_How_did_Anil_feel_ab,quality_synthetic_13_How_did_Anil_feel_ab_baseline_judge_1765662790.json,215.72161293029785,baseline_judge,2025-12-13T21:56:46.038535,True,
quality_synthetic_111_Who_was_the_person_E_baseline_judge_1765663006,synthetic_111_Who_was_the_person_E,quality_synthetic_111_Who_was_the_person_E_baseline_judge_1765663006.json,196.09148907661438,baseline_judge,2025-12-13T22:00:02.130299,True,
quality_synthetic_27_What_enabled_Hannah__baseline_judge_1765663202,synthetic_27_What_enabled_Hannah_,quality_synthetic_27_What_enabled_Hannah__baseline_judge_1765663202.json,174.7812728881836,baseline_judge,2025-12-13T22:02:56.911858,True,
quality_synthetic_105_What_type_of_facilit_baseline_judge_1765663376,synthetic_105_What_type_of_facilit,quality_synthetic_105_What_type_of_facilit_baseline_judge_1765663376.json,178.94877076148987,baseline_judge,2025-12-13T22:05:55.860908,True,
