debate_id,problem_id,transcript_file,duration,experiment_mode,timestamp,success
quality_synthetic_89_How_many_researchers_baseline_judge_1765380663,synthetic_89_How_many_researchers,quality_synthetic_89_How_many_researchers_baseline_judge_1765380663.json,142.94297289848328,baseline_judge,2025-12-10T15:33:26.779306,True
quality_synthetic_159_In_what_year_does_'T_baseline_judge_1765380806,synthetic_159_In_what_year_does_'T,quality_synthetic_159_In_what_year_does_'T_baseline_judge_1765380806.json,162.62263703346252,baseline_judge,2025-12-10T15:36:09.402214,True
quality_synthetic_268_What_is_the_name_of__baseline_judge_1765380969,synthetic_268_What_is_the_name_of_,quality_synthetic_268_What_is_the_name_of__baseline_judge_1765380969.json,135.50203490257263,baseline_judge,2025-12-10T15:38:24.904510,True
quality_synthetic_284_Who_is_revealed_to_b_baseline_judge_1765381104,synthetic_284_Who_is_revealed_to_b,quality_synthetic_284_Who_is_revealed_to_b_baseline_judge_1765381104.json,152.80644488334656,baseline_judge,2025-12-10T15:40:57.711221,True
quality_synthetic_24_How_many_humanoid_fi_baseline_judge_1765381257,synthetic_24_How_many_humanoid_fi,quality_synthetic_24_How_many_humanoid_fi_baseline_judge_1765381257.json,150.43991351127625,baseline_judge,2025-12-10T15:43:28.151402,True
quality_synthetic_234_What_role_does_Dixon_baseline_judge_1765381408,synthetic_234_What_role_does_Dixon,quality_synthetic_234_What_role_does_Dixon_baseline_judge_1765381408.json,206.2868528366089,baseline_judge,2025-12-10T15:46:54.438578,True
quality_synthetic_209_What_is_the_name_of__baseline_judge_1765381614,synthetic_209_What_is_the_name_of_,quality_synthetic_209_What_is_the_name_of__baseline_judge_1765381614.json,190.65714716911316,baseline_judge,2025-12-10T15:50:05.096043,True
quality_synthetic_124_What_rank_does_Oscar_baseline_judge_1765381805,synthetic_124_What_rank_does_Oscar,quality_synthetic_124_What_rank_does_Oscar_baseline_judge_1765381805.json,196.7916865348816,baseline_judge,2025-12-10T15:53:21.887984,True
quality_synthetic_85_What_is_the_term_use_baseline_judge_1765382001,synthetic_85_What_is_the_term_use,quality_synthetic_85_What_is_the_term_use_baseline_judge_1765382001.json,192.01259303092957,baseline_judge,2025-12-10T15:56:33.900842,True
quality_synthetic_19_How_many_attacks_had_baseline_judge_1765382193,synthetic_19_How_many_attacks_had,quality_synthetic_19_How_many_attacks_had_baseline_judge_1765382193.json,149.92189478874207,baseline_judge,2025-12-10T15:59:03.823001,True
quality_synthetic_95_Which_city_did_Vince_baseline_judge_1765382343,synthetic_95_Which_city_did_Vince,quality_synthetic_95_Which_city_did_Vince_baseline_judge_1765382343.json,147.58365392684937,baseline_judge,2025-12-10T16:01:31.406918,True
quality_synthetic_269_What_profession_is_i_baseline_judge_1765382491,synthetic_269_What_profession_is_i,quality_synthetic_269_What_profession_is_i_baseline_judge_1765382491.json,138.54597544670105,baseline_judge,2025-12-10T16:03:49.953159,True
quality_synthetic_151_What_action_was_Gibs_baseline_judge_1765382629,synthetic_151_What_action_was_Gibs,quality_synthetic_151_What_action_was_Gibs_baseline_judge_1765382629.json,198.4231653213501,baseline_judge,2025-12-10T16:07:08.376648,True
quality_synthetic_274_Who_flew_the_transpo_baseline_judge_1765382828,synthetic_274_Who_flew_the_transpo,quality_synthetic_274_Who_flew_the_transpo_baseline_judge_1765382828.json,145.0745644569397,baseline_judge,2025-12-10T16:09:33.451543,True
quality_synthetic_210_What_was_the_name_of_baseline_judge_1765382973,synthetic_210_What_was_the_name_of,quality_synthetic_210_What_was_the_name_of_baseline_judge_1765382973.json,159.25421738624573,baseline_judge,2025-12-10T16:12:12.706040,True
quality_synthetic_1_How_many_cylinders_w_baseline_judge_1765383132,synthetic_1_How_many_cylinders_w,quality_synthetic_1_How_many_cylinders_w_baseline_judge_1765383132.json,177.98611664772034,baseline_judge,2025-12-10T16:15:10.692417,True
quality_synthetic_215_What_is_the_name_of__baseline_judge_1765383310,synthetic_215_What_is_the_name_of_,quality_synthetic_215_What_is_the_name_of__baseline_judge_1765383310.json,147.53196477890015,baseline_judge,2025-12-10T16:17:38.224649,True
quality_synthetic_193_What_is_the_name_of__baseline_judge_1765383458,synthetic_193_What_is_the_name_of_,quality_synthetic_193_What_is_the_name_of__baseline_judge_1765383458.json,165.37728786468506,baseline_judge,2025-12-10T16:20:23.602209,True
quality_synthetic_227_Which_region_is_NOT__baseline_judge_1765383623,synthetic_227_Which_region_is_NOT_,quality_synthetic_227_Which_region_is_NOT__baseline_judge_1765383623.json,150.8095166683197,baseline_judge,2025-12-10T16:22:54.412007,True
quality_synthetic_104_Which_university_did_baseline_judge_1765383774,synthetic_104_Which_university_did,quality_synthetic_104_Which_university_did_baseline_judge_1765383774.json,137.84561324119568,baseline_judge,2025-12-10T16:25:12.257937,True
